date,checkins,unique_ind,unique_loc
2021-09-20,25665903,10035506,846015
2021-09-21,25011981,9934764,843031
2021-09-22,25592458,10030592,859320
2021-09-23,26176318,10181372,860844
2021-09-24,26767619,10245556,818390
2021-09-25,27451761,10123433,756626
2021-09-26,24038686,9210042,585338
2021-09-27,26456744,10266633,847300
2021-09-28,26541913,10293712,859475
2021-09-29,26994270,10405512,859464
2021-09-30,27815729,10539569,864459
2021-10-01,28980407,10702331,829764
2021-10-02,30592905,10698178,761095
2021-10-03,28330088,10079224,607347
2021-10-04,28597344,10713530,875488
2021-10-05,28991261,10785507,887285
2021-10-06,28902108,10762592,889917
2021-10-07,29221297,10867785,892105
2021-10-08,30656128,11071380,848129
2021-10-09,31901725,10970501,772068
2021-10-10,29335877,10328554,611135
2021-10-11,29362255,10926787,879374
2021-10-12,29230419,10938403,889096
2021-10-13,29767155,11005026,893008
2021-10-14,29428703,11003118,888636
2021-10-15,30874125,11197119,843137
2021-10-16,31764101,11064336,772144
2021-10-17,29087934,10385623,605013
2021-10-18,30140880,11118633,873230
2021-10-19,28154118,10334133,706017
2021-10-20,27336429,10682293,875715
